RT Treatment Days,RT Dose,Mean Treatment Time From Starting Tumour Size,Mean Treatment Time After Treatment Started,SD Treatment Time,TCP,List of Treatment Times
"[11, 15, 25]",[8.05304855 8.05304855 8.05304855],28.891213389121344,17.891213389121344,10.312121994718789,0.239,"[25.   25.   25.   45.   25.   25.   44.75 25.   25.   29.5  25.   25.
 25.   25.   25.   25.   47.1  46.4  15.   25.   25.   15.   25.   48.8
 46.   46.75 25.   25.   25.   25.   25.   25.   42.35 25.   15.   25.
 48.3  15.   25.   25.   46.2  41.2  39.05 25.   25.   25.   46.4  25.
 26.8  15.   25.   47.2  25.   25.   46.5  25.   48.15 25.   43.3  15.
 44.3  25.   44.3  25.   25.   25.   25.   25.   25.   48.05 25.   25.
 15.   25.   25.   26.   15.   25.   25.   25.   25.   15.   25.   25.
 25.   41.8  25.   15.   15.   25.   45.55 47.   44.95 46.75 25.   15.
 44.1  25.   25.   25.   25.   46.05 25.   25.   25.   15.   25.   25.
 25.   25.   25.   25.   45.5  42.8  25.   25.   15.   25.   45.6  44.8
 45.15 25.   25.   25.   37.95 45.1  25.   38.55 15.   25.   47.25 25.
 25.   25.   25.   25.   25.   34.55 15.   25.   18.95 25.   15.   45.3
 38.85 43.55 25.   15.   25.   25.   45.85 25.   15.   25.   48.2  15.
 25.   25.   15.   25.   25.   25.   25.   25.   25.   45.3  46.4  48.75
 25.   46.5  25.   25.   15.   15.   25.   25.   25.55 15.   25.   25.
 15.   46.1  25.   25.   25.   34.8  15.   15.   48.15 25.   25.   25.
 25.05 25.   46.4  25.   25.   25.   44.65 25.   45.3  25.   31.8  45.85
 47.1  15.   36.5  47.3  40.05 15.   25.   25.   15.   43.55 25.   15.
 44.85 25.   25.   15.   25.   25.   25.   25.   43.   25.   25.   44.3
 34.15 25.   15.   42.75 15.   46.3  15.   31.3  25.   46.7  25.  ]"
"[11, 15, 26]",[8.05304855 8.05304855 8.05304855],29.281106870229006,18.281106870229006,9.802789947742996,0.262,"[40.15 39.75 26.   40.95 15.   46.85 26.   26.   26.   37.5  26.   26.
 26.   26.   26.   26.   26.   48.2  26.   26.   26.   26.   26.   26.
 15.   26.   26.   44.25 26.   26.   46.95 26.   45.7  15.   26.   45.25
 26.   26.   26.   19.05 36.75 26.   26.   26.   46.6  48.05 26.   26.
 26.   15.   26.   26.   26.   45.3  34.6  26.   26.   15.   44.9  26.
 26.   26.   26.   26.   26.   15.   47.35 45.9  26.   26.   47.05 26.
 26.   26.   26.   15.   46.05 15.   26.   26.   26.   46.85 26.   26.
 43.35 26.   26.   33.65 42.3  39.35 43.1  26.   47.2  26.   26.   46.25
 26.   26.   26.   26.   26.   47.85 30.5  26.   15.   26.   26.   15.
 46.   48.1  26.   26.   26.   26.   45.9  26.   46.7  26.   26.   26.
 26.   26.   26.   26.   26.   26.   26.   15.   26.   24.85 26.   45.15
 26.   26.   43.85 26.   15.   26.   26.   15.   26.   48.3  40.05 26.
 26.   26.   37.65 26.   15.   26.   26.   26.   26.   26.   15.   46.7
 45.65 26.   26.   26.   46.2  26.   46.75 15.   15.   15.   26.   15.
 26.   26.   37.75 15.   26.   26.   26.   44.5  26.   26.   47.35 45.7
 26.   45.1  15.   32.1  26.   15.   26.   15.   26.   26.   28.5  26.
 26.   26.   26.   26.   15.   15.   26.   26.   22.85 26.   45.35 15.
 26.   26.   26.   26.   26.   47.65 26.   26.   26.   26.   43.   47.35
 15.   26.   26.   26.   44.9  26.   46.5  26.   44.4  46.05 26.   26.
 45.85 46.45 26.   46.9  46.9  46.1  26.   26.   41.85 15.   15.   15.
 26.   26.   26.   26.   43.05 26.   26.   48.   26.   46.9  15.   26.
 15.   26.   26.   47.8  26.   15.   47.4  15.   26.   26.  ]"
"[11, 15, 27]",[8.05304855 8.05304855 8.05304855],28.768410852713178,17.768410852713178,10.254607595221538,0.258,"[27.   28.3  27.   15.   47.05 44.95 27.   27.   15.4  27.   27.   27.1
 27.   15.   47.05 15.   27.   48.2  23.55 35.2  45.15 44.9  15.   15.
 47.3  27.   15.   27.   45.85 27.   15.   27.   27.   27.   15.   27.
 47.45 15.   27.   27.   27.   27.   27.   27.   27.   42.75 15.   27.
 39.45 44.15 15.   15.   15.   15.   27.   46.45 43.1  27.   27.   15.
 27.   27.   27.   27.   47.6  15.   48.   27.   27.   27.   27.   43.75
 15.   27.   27.   27.   15.   15.   42.45 27.   15.   27.   27.   27.
 44.55 44.35 27.   27.   15.   45.95 15.   43.25 27.   27.   27.   27.
 27.   27.   27.   15.   27.   27.   27.   27.   27.   30.1  46.1  47.3
 15.   27.   27.   15.   15.   44.15 15.   27.   27.   49.05 46.4  27.
 27.   15.   27.   27.   46.55 27.   27.   27.   47.9  15.   27.   27.
 38.3  27.   15.   15.   15.   27.   27.   27.   27.   27.   44.5  46.95
 40.15 15.   27.   30.95 27.   27.   27.   27.   27.   27.   15.   27.
 15.   45.95 15.   27.   15.   27.   27.   27.   48.8  27.   27.   15.
 27.   44.95 46.25 15.   27.   27.   27.   27.   27.   27.   46.8  27.
 34.9  27.   30.1  27.   15.   15.   27.   27.   27.   27.   45.85 15.
 46.7  15.   27.   40.   27.   27.   27.   15.   43.65 32.45 27.   27.
 27.   27.   48.3  40.55 40.   27.   27.   46.15 27.   15.   27.   27.
 45.3  27.   49.   15.   17.4  27.   27.   27.   43.2  15.   18.1  15.
 47.4  27.   27.   27.   27.   43.3  15.   15.   15.   27.   44.55 27.
 27.   48.5  27.   27.   27.   46.35 27.   27.   47.35 27.   27.   27.
 27.   48.75 27.   47.4  27.   48.6 ]"
"[11, 15, 28]",[8.05304855 8.05304855 8.05304855],29.276382978723404,18.276382978723404,10.019930442178394,0.235,"[15.   28.   28.   47.55 45.2  47.05 28.   28.   31.25 28.   47.   28.
 47.95 15.   44.6  28.   28.   28.   28.   28.   28.   43.8  28.   15.
 15.   28.   28.   15.   28.   28.   28.   28.   34.7  28.   15.   28.
 28.   15.   47.1  28.   34.2  15.   46.7  28.   28.   28.   28.   15.
 15.   28.   28.   30.25 28.   46.1  45.05 28.   28.   45.6  48.7  28.75
 15.   28.   15.   15.   28.   28.   47.25 15.   15.   45.65 28.   47.85
 45.15 28.   45.7  15.   28.   28.   28.   28.   43.75 28.   28.   45.55
 47.4  28.   38.2  15.   28.   38.9  28.   48.2  28.   28.   15.   45.65
 15.   15.   25.4  46.95 47.2  28.   28.   28.   28.   28.   28.   28.
 28.   28.   28.   31.15 28.   15.   44.2  28.   28.   45.7  28.   47.85
 28.   28.   28.   28.   48.65 28.   15.   28.   28.   28.   15.   28.
 28.   28.   28.   28.   47.95 28.   45.65 28.   15.   28.   28.   28.
 47.   28.   44.4  28.   28.   15.   28.   28.   15.   46.9  28.   28.
 15.   47.55 21.85 28.   28.   47.75 28.   43.35 15.   15.   28.   15.
 15.   22.8  28.   15.   28.   28.   15.   45.4  41.05 46.   15.   15.
 32.1  28.   28.   15.   28.   15.   15.   28.   15.   28.   40.   28.
 44.65 28.   28.15 28.75 28.   41.25 28.   47.4  36.7  28.   28.   15.
 28.   28.   28.   20.15 28.   28.   28.   15.   15.   28.   15.   44.95
 28.   28.   28.   28.   28.   48.7  46.1  28.   44.4  28.   15.   28.
 29.1  28.   15.   28.   15.   28.   28.  ]"
"[11, 15, 29]",[8.05304855 8.05304855 8.05304855],30.697,19.697,9.633468793741953,0.25,"[29.   44.45 32.95 29.   29.   44.65 22.   29.   29.   29.   29.   29.
 29.   29.   29.5  15.   29.   47.35 29.   29.   48.75 46.3  29.   29.
 29.   44.6  29.   29.   46.15 29.   29.   15.   29.   29.   47.1  29.
 29.   29.   46.05 42.55 29.   29.   47.3  29.   29.   47.35 15.   29.
 29.   29.   29.   29.   15.   29.   29.   29.   15.95 46.5  48.05 47.85
 29.   15.   29.   15.   29.   29.   15.   48.9  29.   29.   29.   29.
 29.   29.   46.75 45.65 29.   29.   29.   15.   29.   29.   48.7  15.
 40.05 47.35 29.   29.   42.6  44.85 29.   29.   29.   15.   46.25 29.
 15.   15.   41.75 29.   29.   25.9  15.   48.   29.   29.   29.   29.
 29.   29.   15.   47.   47.3  29.   29.   15.   29.   47.1  29.   29.
 15.   47.35 29.   29.   41.2  15.   29.   29.   45.4  29.   29.   47.7
 39.9  41.65 29.   45.9  29.   29.   29.   47.05 29.   29.   41.75 29.
 29.   29.   47.4  29.   15.   29.   42.65 15.   29.   15.   29.   29.
 35.45 29.   29.   15.   47.   29.   15.   29.   29.   29.   48.05 29.
 29.   29.   29.   29.8  49.05 46.3  15.   15.   29.   15.   29.   15.
 29.   29.   29.   46.5  29.   29.   29.   29.   29.   29.   29.   29.
 29.   29.   29.   29.   29.   47.   47.2  29.   29.   29.   15.   29.
 34.75 29.   47.25 15.   15.   47.2  48.4  29.   15.   29.   38.65 29.
 29.   15.   15.   15.   29.   15.   29.   29.   29.   29.   29.   29.
 29.   15.   29.   29.   29.   30.   29.   29.   29.   29.   29.   29.
 15.   29.   29.   46.1  48.15 29.   46.45 45.45 47.   15.  ]"
"[11, 15, 30]",[8.05304855 8.05304855 8.05304855],29.79108527131783,18.79108527131783,9.25912801160911,0.258,"[15.   47.85 15.   15.   30.   23.5  30.   30.   30.   15.   46.85 30.
 30.   45.35 15.   30.   30.   15.   48.   44.2  45.15 30.   30.   38.5
 30.   15.   30.   15.   47.6  15.   30.   15.   33.4  46.15 30.   30.
 30.   30.   30.   15.   15.   15.   48.3  30.   30.   30.   30.   30.
 46.65 30.   32.45 30.   30.   15.   30.   15.   30.   30.   48.65 30.
 30.   30.   30.   30.   30.   15.   30.   15.   30.   30.   34.3  15.
 30.   15.   30.   21.35 30.   46.15 17.85 46.4  30.   30.   30.   15.
 47.3  30.   23.4  47.85 30.   30.   15.   30.   30.   30.   30.   30.
 47.2  30.   30.   15.   15.   30.   30.   15.   30.   43.1  15.   45.55
 48.8  30.   15.   44.65 30.   45.15 30.   15.   30.   30.   30.   30.
 30.   30.   30.   30.   42.2  47.75 30.   47.8  47.3  30.   30.   30.
 48.9  30.   30.   30.   30.   30.   30.   33.25 30.   30.   30.   30.
 30.   30.   15.   15.   30.   30.   40.15 48.7  30.   41.25 30.   15.
 15.   30.   30.   15.   30.   15.   30.   30.   30.   15.   30.   15.
 30.   15.   15.   47.35 30.   47.6  47.75 30.   46.4  30.   30.   30.
 15.   30.   42.25 28.35 15.   30.   30.   15.   30.   30.   30.   15.
 30.   42.6  30.   30.   43.25 30.   15.   30.   15.   29.1  30.   34.45
 30.   30.   30.   30.   30.   30.   30.   46.3  30.   43.6  30.   30.
 30.   30.   30.   30.   15.   30.   44.6  30.   30.   30.   30.   15.
 39.3  15.   30.   30.   30.   30.   30.   30.   30.   30.   30.   30.
 30.   45.6  30.   30.   30.   15.   30.   30.   30.   45.15 30.   30.
 30.   15.   30.   30.   30.   43.5 ]"
"[11, 16, 17]",[8.05304855 8.05304855 8.05304855],23.776883561643835,12.776883561643835,11.854363317840974,0.292,"[17.   16.   17.   17.   47.85 42.45 45.8  17.   17.   17.   43.7  17.
 17.   27.1  17.   17.   17.   17.   17.   16.   17.   17.   17.   17.
 17.   47.6  47.2  47.65 17.   17.   47.5  17.   47.15 17.   46.35 17.
 17.   17.   44.9  17.   17.   17.   16.   42.05 17.   31.25 47.1  17.
 17.   17.   47.5  17.   16.   17.   46.1  17.   17.   17.   17.   17.
 17.   17.   17.   45.35 17.   29.45 17.   17.   48.25 17.   17.   46.55
 16.   17.   17.   17.   46.25 17.   46.8  16.   17.   17.   16.   45.65
 17.   37.35 16.   17.   34.65 17.   17.   17.   39.05 48.85 17.   17.
 47.75 47.05 17.   17.   17.   17.   17.   17.   28.2  18.1  17.   16.
 17.   17.   17.   17.   17.   17.   17.   49.05 17.   47.25 17.   17.
 17.   17.   46.4  17.   17.   30.1  17.   16.   17.   44.05 46.9  16.
 17.   29.35 17.   17.   17.   17.   27.25 31.65 17.   24.6  45.3  16.
 17.   16.   16.   17.   17.   17.   32.8  46.3  17.   47.1  17.   47.15
 17.   17.   37.05 17.   17.   24.35 17.   17.   17.   17.   17.   45.45
 17.   17.   17.   46.05 17.   17.   16.   17.   17.   48.65 17.   17.
 17.   17.   46.4  16.   16.   17.   47.65 43.65 16.   17.   17.   32.95
 17.   17.   17.   17.   46.5  24.75 17.   17.   17.   30.5  48.4  17.
 37.15 33.7  17.   17.   17.   17.   17.   17.   46.75 16.   17.   17.
 18.85 17.   17.   17.   17.   16.   17.   17.   17.   47.2  16.   16.
 17.   47.6  17.   48.05 17.   17.   17.   17.   17.   17.   17.   23.5
 16.   16.   16.   17.   17.   16.   16.   17.   41.65 17.   17.   17.
 32.7  17.   48.3  17.   16.   40.65 17.   44.8  47.55 47.35 17.   46.25
 17.   17.   38.85 17.   21.1  16.   37.4  17.   19.7  47.85 47.1  17.
 48.3  17.   17.   17.   17.   17.   17.   17.   17.   17.   17.   47.35
 17.   17.   17.   17.  ]"
"[11, 16, 18]",[8.05304855 8.05304855 8.05304855],23.934310344827587,12.934310344827587,11.62416791416872,0.29,"[18.   16.   18.   18.   48.25 18.   18.   18.   18.   18.   18.   18.
 18.   18.   47.7  18.   18.   18.   18.7  18.   18.   18.   18.   39.4
 40.55 18.   18.   45.4  47.   46.85 18.   46.45 18.   18.   18.   18.
 18.   18.   18.   18.   16.   16.   18.   18.   47.25 18.   18.   18.
 48.1  18.   35.5  18.   16.   18.   18.   18.   18.   18.   18.   46.55
 18.   18.   47.15 18.   18.   18.   18.   18.   18.5  42.45 18.   16.
 18.   45.2  47.2  46.75 18.   18.   18.   16.   18.   18.   46.8  16.
 18.   16.   16.   48.15 46.4  18.   18.   18.   18.   18.   18.   18.
 18.   18.   16.   16.   18.   16.   16.   18.   16.   33.8  16.   41.65
 16.   18.   27.5  18.   18.   37.4  16.   18.   16.   18.   18.   16.
 16.   16.   46.85 18.   32.65 18.   18.   16.   18.   18.   18.   18.
 18.   46.6  18.   18.   18.   48.   18.   46.5  18.   18.   41.15 18.
 22.2  18.   30.95 18.   18.   18.   44.7  18.   18.   18.   30.85 18.
 16.   18.   18.   47.1  18.   18.   18.   18.   16.   18.   18.   47.5
 26.7  18.   18.   16.   18.   18.   47.6  48.4  48.65 18.   46.65 46.25
 18.   16.   47.45 48.65 46.85 16.   16.   18.   46.6  18.   18.   49.05
 16.   18.   18.   18.   18.   16.   48.95 18.   47.4  18.   18.   18.
 18.   18.   16.   18.   18.   16.   18.   18.   45.95 18.   18.   18.
 18.   47.05 18.   18.   18.   46.6  46.1  48.65 46.   18.   18.   18.
 18.   18.   18.   18.   18.   25.9  18.   18.   49.   16.   18.   35.
 16.   18.   18.   18.   46.8  18.   16.   18.   47.05 18.   18.   16.
 18.   18.   16.   48.25 46.35 47.2  18.   18.   45.45 18.   18.   16.
 18.   18.   16.   18.   18.   18.   18.   16.   18.   46.05 18.   16.
 18.   48.   31.35 46.1  46.5  18.   18.   18.   22.3  36.4  18.   18.
 18.   16.  ]"
"[11, 16, 19]",[8.05304855 8.05304855 8.05304855],24.3875,13.3875,11.306724181598753,0.256,"[16.   19.   19.   19.   47.   47.25 19.   47.85 19.   19.   19.   16.
 32.8  19.   26.15 47.25 19.   19.   19.   38.   44.9  19.   19.   47.05
 47.5  16.   16.   19.   19.   19.   16.   16.   47.5  19.   19.   47.55
 19.   19.   46.05 19.   16.   19.   22.   19.   49.   46.7  29.2  45.6
 19.   19.   19.   19.   46.7  42.2  19.   19.   16.   19.   19.   16.
 19.25 19.   16.   48.4  47.3  23.15 16.   19.   19.   16.   19.   19.
 48.55 19.   19.   47.55 19.   25.25 19.   45.8  19.   19.   19.   36.9
 19.   19.   19.   19.   19.   46.95 19.   16.   19.   19.   19.   16.
 34.4  19.   47.8  19.   19.   19.   19.   16.   19.   19.   19.   19.
 19.   45.4  19.   19.   19.   34.1  19.   16.   19.   19.   16.   19.
 28.55 16.   19.   16.   19.   43.55 16.   19.   38.7  19.   19.   19.
 19.   19.   46.5  19.   47.75 19.   16.   19.   19.   19.   19.   19.
 16.   49.   46.8  19.   46.95 19.   16.   16.   19.   16.   47.   19.
 45.05 16.   16.   16.   31.75 19.   47.7  19.   16.   19.   41.25 16.
 19.   46.85 19.   19.   46.45 19.   19.   46.55 19.   19.   19.   16.
 19.   45.7  19.   19.   19.   19.   16.   19.   16.   16.   45.8  19.
 46.2  19.   19.   19.   19.   16.   19.   19.   19.   19.   19.   47.9
 16.   19.   19.   19.   44.05 19.   47.05 19.   19.   19.   16.   19.
 16.   19.   16.   19.   19.   19.   19.   48.65 16.   47.7  19.   45.6
 19.   16.   16.   19.   16.   19.   19.   19.   44.05 19.   19.   16.
 16.   19.   19.   25.55 19.   19.   48.45 19.   19.   19.   19.   19.
 48.45 19.   19.   45.6 ]"
"[11, 16, 20]",[8.05304855 8.05304855 8.05304855],24.461068702290078,13.461068702290078,10.5354966879084,0.262,"[20.   33.   16.   20.   20.   46.7  20.   20.   20.   20.   46.3  20.
 16.   20.   20.   23.4  20.   16.   20.   47.85 41.5  20.   20.   20.
 20.   20.   20.   46.45 20.   22.9  20.   20.   20.   43.15 20.   20.
 20.   47.05 20.   20.   20.   47.85 20.   20.   33.65 48.9  21.4  39.45
 16.   20.   16.   16.   16.   20.   20.   45.9  20.   20.   20.   20.
 21.25 40.3  20.   20.   20.   27.5  16.   20.   20.   20.   16.   16.
 16.   20.   20.   20.   20.   16.   16.   20.   16.   16.   26.15 16.
 36.05 45.85 20.   20.   20.   33.95 20.   20.   16.   16.   20.   20.
 20.   16.   20.   47.65 20.   20.   20.   16.   20.   20.   48.25 20.
 20.   33.75 20.   20.   20.   48.6  16.   16.   20.   20.   20.   20.85
 20.   16.   20.   20.   20.   20.   20.   20.   20.   20.   42.75 20.
 47.85 20.   20.   20.   20.   20.   20.   20.   20.   20.   20.   16.
 20.   20.   16.   20.   32.05 20.   16.   25.   20.   20.   20.   16.
 16.   20.   20.   26.05 20.   16.   47.6  46.6  20.   20.   16.   20.
 16.   20.   20.   47.65 48.5  35.95 46.5  20.   16.   16.   20.   20.
 16.   20.   20.   16.   20.   37.3  47.5  47.15 20.   20.   48.65 20.
 45.3  20.   38.9  20.   20.   37.8  41.65 48.8  20.   20.   16.   20.
 20.   20.   20.   47.95 48.   48.5  20.   20.   16.   16.   20.   40.7
 20.   47.8  20.   16.   16.   20.   16.   47.4  20.   16.   16.   20.
 20.   16.   16.   39.55 26.   47.6  20.   30.2  28.55 20.   16.   20.
 20.   20.   46.7  47.85 20.   20.   16.   47.55 47.15 20.   20.   20.
 20.   16.   16.   47.75 20.   20.   47.6  46.8  16.   20.  ]"
