RT Treatment Days,RT Dose,Mean Treatment Time From Starting Tumour Size,Mean Treatment Time After Treatment Started,SD Treatment Time,TCP,List of Treatment Times
"[12, 25, 27]",[8.05304855 8.05304855 8.05304855],27.049999999999997,15.049999999999997,2.5988652753508528,0.139,"[27.   27.   27.   27.   27.   27.   25.   27.   27.   25.   27.   25.
 27.   27.   27.   27.   27.   27.   27.   27.   27.   27.   27.   27.
 25.   27.   27.   27.   27.   27.   26.35 27.   27.   27.   27.   27.
 27.   27.   27.   27.   27.   27.   27.   27.   27.   27.   27.   27.
 27.   27.   27.   27.   27.   25.   25.   27.   44.8  27.   27.   25.
 25.   27.   25.   25.   27.   27.   27.   31.3  27.   27.   25.   25.
 27.   27.   25.   27.   25.   27.   27.   25.   27.   27.   27.   27.
 27.   27.   27.   27.   25.   27.   27.   27.   32.1  27.   27.   27.
 27.   47.45 27.   25.   27.   27.   27.   27.   25.   27.   27.   27.
 27.   27.   27.   25.   27.   27.   27.   27.   25.   25.   27.   25.
 25.   27.   27.   27.   27.   27.   27.   27.   27.   27.   25.   27.
 27.   27.   34.95 27.   27.   27.   27.  ]"
"[12, 25, 28]",[8.05304855 8.05304855 8.05304855],27.932094594594595,15.932094594594595,3.310221731239584,0.148,"[28.   25.   25.   28.   28.   28.   28.   25.   28.   28.   28.   28.
 28.   28.   25.   25.   28.   28.   25.   25.   28.   28.   25.   28.
 28.   25.   28.   25.   28.   28.   28.   28.   28.   25.   28.   25.
 28.   31.5  28.   28.   28.   28.   28.   25.   28.   28.   28.   25.
 34.6  28.   28.   28.   25.   28.   28.   28.   28.   28.   28.   30.9
 25.   28.   28.   25.   28.   28.   28.   28.   28.   28.   28.   28.
 25.   28.   25.   28.   28.   28.   47.5  43.9  28.   28.   28.   28.
 28.   25.   25.   28.   28.   28.   28.   33.55 25.   28.   25.   25.
 25.   25.   28.   28.   28.   25.   25.   28.   28.   25.   28.   28.
 28.   28.   28.   28.   28.   49.   25.   28.   28.   28.   28.   28.
 28.   28.   28.   28.   28.   25.   28.   28.   28.   28.   28.   28.
 28.   29.6  28.   28.   28.   28.   28.   28.   40.4  25.   28.   28.
 28.   28.   25.   28.  ]"
"[12, 25, 29]",[8.05304855 8.05304855 8.05304855],29.363380281690144,17.363380281690144,4.1602957112063095,0.142,"[33.65 29.   29.   41.   29.   29.   29.   29.   34.05 29.   29.   29.
 29.   29.   25.   29.   29.   29.   29.   29.   29.   29.   25.   29.
 29.   25.   25.   29.   25.   25.   25.   29.   29.   27.4  25.   41.3
 29.   29.   25.   25.   25.   31.95 29.   29.   32.85 29.   29.   29.
 29.   29.   48.2  25.   29.   29.   29.   46.   25.   29.   29.   25.
 29.   29.   29.   29.   25.   29.   29.   29.   29.   29.   29.   29.
 29.   29.   29.   29.   25.   25.   29.   29.   25.   29.   29.   29.
 25.   25.   29.   29.   29.   29.   29.   25.   29.   29.   29.   29.
 29.   29.   29.   29.   29.   25.   42.5  29.   39.3  29.   25.   29.
 29.   29.   29.   25.   25.   29.   25.   29.   29.   29.   45.7  29.
 29.   37.5  29.   29.   29.   29.   44.15 29.   32.75 29.   29.   29.
 29.   41.3  29.   29.   29.   29.   29.   29.   29.   29.  ]"
"[12, 25, 30]",[8.05304855 8.05304855 8.05304855],29.670979020979026,17.670979020979026,3.445537361986748,0.143,"[30.   25.   40.6  25.   30.   30.   30.   25.   30.   30.   25.   30.
 30.   30.   30.   30.   30.   30.   30.   30.   30.   30.   30.   30.
 25.   30.   30.   30.   25.   25.   30.   25.   30.   30.   25.   30.
 30.   30.   30.   30.   30.   30.   25.   48.45 30.   30.   25.   30.
 30.   30.   30.   37.6  30.   30.   30.   25.   30.   30.   30.   30.
 30.   30.   30.   30.   30.   30.   25.   30.   30.   30.   30.   30.
 30.   30.   30.   30.   25.   43.65 25.   25.   30.   30.   30.   30.
 30.   30.   41.7  30.   30.   30.   30.   25.   30.   30.   25.   30.
 30.   30.   30.   30.   30.   30.   30.   30.   30.   30.   30.   25.
 30.   30.   25.   25.   25.   30.   30.   30.   25.   30.   30.   30.
 30.   30.   25.   30.   30.   30.   30.   30.   30.   30.   30.   30.
 30.   45.95 30.   30.   30.   30.   25.   30.   30.   30.   30.  ]"
"[12, 26, 27]",[8.05304855 8.05304855 8.05304855],28.372635135135134,16.372635135135134,4.840720903633429,0.148,"[27.   27.   27.   26.   27.   27.   26.   27.   27.   26.   41.25 32.9
 26.   27.   27.   27.   39.7  27.   27.   27.   26.   27.   27.   26.
 27.   27.   27.   26.   26.   27.   27.   27.   38.85 26.   27.   27.
 26.   27.   27.   27.   26.   48.8  36.85 27.   27.   27.   27.   27.
 27.   26.   26.   27.   26.   26.   27.   26.   27.   27.   46.2  26.
 27.   26.   26.   36.6  27.   26.   26.   26.   26.   26.   27.   27.
 27.   27.   26.   27.   27.   27.   27.   27.   27.   26.   28.7  27.
 27.   27.   27.   27.   37.95 27.   27.   27.   27.   47.1  27.   27.
 27.   27.   26.   27.   26.   27.   27.   44.15 44.3  26.   27.   27.
 27.   27.   27.   31.95 26.   27.   33.2  26.   27.   27.   27.   27.
 47.15 27.   26.   27.   26.   27.   27.   27.   27.   27.   27.   27.
 27.   26.   27.   44.65 27.   31.   41.85 26.   27.   27.   27.   26.
 26.   27.   27.   27.  ]"
"[12, 26, 28]",[8.05304855 8.05304855 8.05304855],28.318595041322315,16.318595041322315,3.1270423556229154,0.121,"[28.   28.   28.   28.   28.   28.   28.   28.   34.9  28.   26.   28.
 28.   28.   28.   28.   28.   28.   28.   32.85 28.   28.   48.8  28.
 28.   28.   26.   42.2  26.   28.   29.   28.   28.   26.   26.   28.
 28.   28.   28.   28.   28.   28.   28.   28.   28.   28.   28.   28.
 28.   28.   28.   28.   28.   26.   28.   28.   26.   44.05 26.   26.
 28.   28.   28.   28.   28.   34.6  28.   28.   28.   28.   26.   32.5
 28.   26.   26.   28.   26.   28.   26.   28.   28.   28.   28.   28.
 28.   28.   32.45 28.   28.   26.   28.   28.   28.   28.   28.   26.
 35.2  28.   26.   28.   28.   26.   26.   26.   26.   28.   26.   28.
 28.   28.   28.   26.   26.   28.   28.   28.   28.   28.   28.   28.
 28.  ]"
"[12, 26, 29]",[8.05304855 8.05304855 8.05304855],29.088620689655176,17.088620689655176,3.4208778104537294,0.145,"[29.   29.   29.   29.   26.   26.   26.   26.   29.   43.9  26.   26.
 29.   26.   29.   29.   29.   29.   29.   26.   29.   29.   29.   29.
 26.   29.   26.   29.   26.   42.   29.   29.   29.   29.   29.   29.
 29.   29.   29.   45.65 29.   29.   26.   26.   29.   29.   29.   31.05
 29.   29.   29.   29.   29.   29.   29.   26.   29.   26.   31.55 29.
 26.   26.   29.   26.   26.   29.   29.   29.   29.   29.   28.15 29.
 29.   29.   29.   29.   29.   29.   29.   29.   29.   29.   26.   29.
 37.4  29.   29.   27.75 29.   31.9  38.6  29.   29.   26.   29.   29.
 29.   26.   26.   29.   26.   26.   29.   29.   29.   29.   29.   29.
 29.   26.   29.   29.   26.   29.   28.9  48.55 29.   29.   29.   29.
 29.   26.   29.   39.2  26.   29.   29.6  29.   29.   29.   29.   29.
 26.   37.   29.   31.65 29.   29.   26.   29.   29.   29.   29.   29.
 26.  ]"
"[12, 26, 30]",[8.05304855 8.05304855 8.05304855],29.756418918918925,17.756418918918925,3.3113404671479807,0.148,"[34.75 30.   30.   30.   26.   30.   30.   30.   30.   47.9  30.   30.
 26.   40.05 30.   30.   26.   30.   26.   30.   30.   30.   26.   30.
 30.   26.   30.   26.   26.   30.   30.   30.   30.   36.1  30.   26.
 30.   26.   30.   26.   30.   30.   26.   30.   46.35 26.   30.   30.
 30.   30.   30.   30.   26.   30.   26.   30.   30.   26.   30.   30.
 30.   30.   30.   30.   30.   30.   30.   30.   30.   34.25 30.   26.
 30.   26.   30.   30.   26.   30.   26.   30.   30.   30.   26.   30.
 30.   30.   26.   30.   30.   30.   30.   30.   30.   30.   30.   30.
 26.   30.   31.75 30.   26.   26.   30.   30.   30.   30.   30.   30.
 41.55 30.   30.   30.   30.   45.25 26.   26.   30.   30.   30.   30.
 30.   30.   30.   30.   30.   30.   30.   30.   30.   30.   30.   30.
 30.   26.   30.   30.   30.   30.   30.   30.   26.   30.   26.   30.
 30.   30.   26.   30.  ]"
"[12, 27, 28]",[8.05304855 8.05304855 8.05304855],28.772772277227723,16.772772277227723,3.4144895444462033,0.101,"[28.   32.05 34.25 27.   27.   28.   28.   28.   27.   41.2  28.   28.
 27.   28.   27.   28.   28.   28.   28.   27.   28.   27.   27.   28.
 27.   27.   28.   29.35 28.   28.   28.   27.   28.   28.   28.   28.
 27.   27.   28.   27.   36.45 28.   28.   28.   28.   28.   28.   28.
 28.   28.   28.   28.   28.   28.   28.   28.   28.   28.   27.   42.3
 28.   28.   28.   28.   27.   28.   28.   28.   45.   28.   27.   28.
 27.   39.95 28.   28.   40.25 27.   27.   28.   28.   28.   28.   28.
 28.   28.   27.   28.   28.   28.   28.   28.   28.   28.   39.25 28.
 28.   28.   28.   28.   27.  ]"
"[12, 27, 29]",[8.05304855 8.05304855 8.05304855],29.052049180327867,17.052049180327867,2.634935510619241,0.122,"[27.   27.   29.   29.   39.45 29.   29.   29.   27.   27.   29.   27.
 27.   29.   29.   29.   29.   29.   29.   29.   29.   29.   29.   27.
 47.1  27.   29.   27.   29.   29.   29.   29.   29.   29.   29.   29.
 29.   29.   27.65 27.   29.   29.   35.4  29.   27.   29.   29.   29.
 29.   29.   29.   29.   29.   29.   27.   29.   29.   29.   29.   29.
 27.   29.   27.   29.   29.   29.   27.   29.   29.   43.55 34.25 27.
 27.   29.   29.   29.   27.   29.   29.   27.   29.   29.   29.   29.
 29.   29.   29.   29.   29.   29.   29.   27.   29.   33.95 29.   29.
 29.   27.   29.   29.   27.   27.   27.   29.   29.   29.   29.   29.
 27.   29.   29.   27.   29.   29.   29.   29.   29.   29.   29.   29.
 29.   29.  ]"
"[12, 27, 30]",[8.05304855 8.05304855 8.05304855],29.78739130434783,17.78739130434783,3.5860044586302027,0.115,"[30.   30.   30.   30.   30.   30.   27.   30.   30.   30.   30.   30.
 30.   27.   27.   41.8  30.   30.   30.   30.   30.   27.   30.   30.
 30.   30.   30.   48.05 30.   30.   37.25 30.   27.   30.   30.   30.
 33.2  27.   30.   27.   30.   30.   27.   30.   30.   30.   30.   27.
 30.   27.   30.   30.   30.   27.   27.   30.   30.   30.   30.   27.
 27.   30.   31.15 30.   30.   27.   30.   30.   27.   27.   30.   30.
 30.   30.   27.   27.   30.   30.   27.   30.   30.   30.   30.   30.
 27.   30.   30.   27.   27.   30.   49.05 27.   27.   27.   30.   30.
 27.   27.   30.   30.   27.   30.   30.   42.6  40.45 27.   27.   27.
 30.   27.   30.   30.   27.   27.   27.  ]"
"[12, 28, 29]",[8.05304855 8.05304855 8.05304855],29.567045454545454,17.567045454545454,3.227279729505849,0.132,"[28.   29.   29.   29.   29.   28.   38.55 29.   29.   29.   29.   29.
 28.   29.   29.   39.65 29.   29.   28.   29.   28.   29.   41.95 28.
 29.   29.   28.   29.   29.   28.   29.   29.   37.1  29.   28.   28.
 29.   28.   29.   28.   29.   28.   29.   29.   28.   29.   29.   29.
 29.   29.   28.   44.65 29.   29.   29.   29.   29.   28.   29.   28.
 45.85 29.   29.   28.   29.   29.   29.   29.   29.   28.   29.   28.
 29.   29.   29.   29.   28.   29.   29.   29.   28.   29.   29.   29.
 29.   28.   29.   29.   28.   28.   28.   29.   28.   28.   29.   28.
 28.   29.   29.   42.15 29.   28.   29.   28.   29.   29.   29.   43.8
 29.   29.   29.   29.   29.   29.   29.   29.   29.   29.   29.   29.
 29.   29.   29.   29.   29.   34.15 29.   29.   29.   29.   29.   29.  ]"
"[12, 28, 30]",[8.05304855 8.05304855 8.05304855],30.154508196721313,18.154508196721313,2.838472546542207,0.122,"[30.   30.   28.   30.   30.   30.   30.   30.   28.   30.   28.   28.
 30.   28.   30.   30.   30.   30.   30.   28.   30.   30.   30.   28.
 28.   30.   30.   30.   30.   30.   30.   28.   28.   30.   30.   28.
 30.   30.   30.   30.   30.   30.   30.   30.   30.   30.   28.   30.
 30.   30.   28.   28.   41.2  30.   30.   30.   30.   30.   30.   30.
 30.   28.   30.   43.35 30.   28.   30.   30.   30.   30.   30.   30.
 29.75 30.   30.   30.   30.   30.   28.   28.   30.   30.   30.   30.
 30.   30.   30.   30.   30.   30.   30.   30.   30.   30.   45.65 30.
 30.   30.   30.   30.   28.   30.   30.   30.   30.   30.   30.   30.
 30.   30.   30.   30.   28.   48.9  30.   30.   30.   30.   30.   30.
 30.   30.  ]"
"[12, 29, 30]",[8.05304855 8.05304855 8.05304855],30.448780487804882,18.448780487804882,3.033655817405967,0.123,"[29.   30.   30.   30.   30.   29.   30.   30.   30.   29.   30.   29.
 30.   35.45 30.   30.   29.   30.   30.   29.   30.   30.   30.   30.
 30.   30.   29.   45.85 30.   30.   30.   30.   30.   30.   49.05 30.
 30.   30.   30.   30.   29.   30.   30.   30.   30.   30.   29.   30.
 30.   30.   30.   30.   30.   30.   30.   29.   30.   30.   29.   29.
 30.   30.   37.8  30.45 30.   30.   30.   30.   30.   30.   30.   30.
 30.   30.   29.   30.   30.   29.   30.   30.   30.   29.   30.   30.
 30.   30.   30.   30.   30.   29.   30.   30.   30.   30.   30.   30.
 30.   29.   29.   30.   30.   30.   30.   29.   30.   38.8  30.   30.
 30.   30.   30.   29.   30.   30.   30.   30.   30.   29.   30.   30.
 30.   30.   48.8 ]"
"[13, 14, 15]",[8.05304855 8.05304855 8.05304855],22.36824817518248,9.36824817518248,13.166504416015256,0.274,"[15.   15.   32.05 15.   14.   15.   15.   32.9  15.   14.   15.   40.35
 15.   15.   46.25 15.   45.85 47.2  15.   41.3  15.   15.   15.   15.
 15.   15.   15.   15.   15.   15.   47.75 39.6  14.   45.95 15.   15.
 14.   22.05 15.   15.   14.   15.   18.25 15.   15.   48.95 15.   45.7
 14.   15.   48.3  24.95 48.8  15.   15.   15.   15.   48.9  47.7  15.
 14.   48.9  38.9  14.   14.   46.35 47.65 15.   15.   14.   15.   15.
 45.5  40.05 14.   15.   14.   14.   45.65 15.   45.8  15.   14.   48.05
 41.5  15.   15.   15.   14.   15.   47.35 46.25 46.6  15.   15.   46.3
 45.4  14.   15.   15.   48.6  15.   45.75 15.   15.   15.   46.25 15.
 15.   14.   14.   15.   15.   14.   15.   15.   15.   46.3  14.   15.
 15.   15.   15.   45.8  15.   15.   15.   15.   15.   15.   15.   15.
 15.   15.   47.1  15.   15.   15.   15.   45.3  14.   15.   15.   14.
 15.   15.   15.   15.   15.   15.   15.   15.   42.1  45.5  45.35 15.
 15.   15.   14.   48.3  15.   15.   15.   14.   49.   14.   42.15 14.
 15.   15.   15.   15.   14.   15.   15.   15.   15.   14.   14.   15.
 46.05 15.   14.   15.   15.   15.   15.   15.   14.   15.   15.   15.
 14.   14.   46.35 47.75 15.   15.   15.   32.15 46.25 14.   15.   45.95
 42.   15.   42.75 14.   15.   15.   15.   15.   15.   15.   14.   15.
 14.   15.   48.95 48.75 48.85 15.   15.   15.   15.   14.   45.7  15.
 15.   15.   46.25 15.   15.   47.25 45.9  15.   15.   36.15 19.65 43.8
 45.35 15.   15.   25.6  15.   15.   15.   15.   15.   15.   15.   49.
 48.1  15.   15.   15.   15.   15.   15.   15.   14.   46.6  15.   15.
 15.   15.   45.7  15.   15.   15.   46.5  15.   15.   15.  ]"
"[13, 14, 16]",[8.05304855 8.05304855 8.05304855],22.38790983606557,9.387909836065571,12.434944124736274,0.244,"[16.   19.35 16.   16.   16.   48.1  16.   16.   47.5  16.   46.95 46.95
 16.   16.   48.95 16.   30.95 14.   27.9  16.   48.   16.   16.   16.
 16.   47.95 16.   48.3  14.   16.   14.   16.   16.   16.   16.   19.
 16.   16.   16.   14.   14.   14.   16.   14.   16.   47.35 16.   16.
 16.   16.   16.   47.2  16.   16.   14.   16.   14.   14.   16.   48.95
 43.85 16.   16.   14.   16.   16.   16.   16.   14.   14.   14.   47.05
 16.   16.   16.   16.   46.7  47.45 16.   16.   31.7  14.   14.   16.
 46.6  16.   16.   16.   16.   14.   16.   16.   27.85 16.   16.   16.
 47.1  16.   47.55 46.2  46.7  14.   47.45 46.7  14.   16.   16.   16.
 47.2  14.   48.7  14.   16.   32.85 16.   16.   48.8  47.15 16.   16.
 14.   14.   48.1  16.   14.   16.   44.7  30.2  16.   16.   34.15 21.55
 14.   14.   48.75 16.   14.   36.75 16.   16.   14.   16.   16.   48.25
 41.75 14.   14.   41.65 14.   16.   47.   16.   16.   47.25 16.   25.9
 14.   47.65 46.6  16.   16.   16.   16.   16.   14.   16.   16.   14.
 16.   16.   49.   43.75 16.   16.   16.   16.   16.   14.   16.   16.
 39.6  47.2  40.7  16.   14.   16.   19.75 16.   16.   46.55 16.   16.
 16.   16.   16.   16.   48.7  16.   16.   16.   16.   28.8  16.   16.
 16.   14.   16.   24.85 16.   38.3  16.   16.   16.   16.   16.   45.7
 16.   47.15 16.   16.   14.   14.   16.   16.   16.   16.   16.   16.
 16.   16.   48.55 16.   46.8  16.   16.   16.   14.   16.   16.   16.
 16.   16.   16.   16.  ]"
"[13, 14, 17]",[8.05304855 8.05304855 8.05304855],21.13622881355932,8.13622881355932,10.780867733315237,0.236,"[17.   17.   14.   14.   17.   17.   17.   17.   17.   17.   17.   17.
 17.   17.   25.45 44.   17.   17.   29.4  14.   17.   17.   40.1  17.
 17.   17.   17.   48.7  48.65 48.45 17.   14.   17.   17.   17.   17.
 14.   14.   17.   17.   26.65 14.   14.   17.   17.   14.   17.   17.
 14.   17.   30.85 17.   17.   41.9  17.   17.   27.35 14.   17.   14.
 17.   17.   17.   14.   17.   17.   49.   17.   17.   14.   17.   14.
 48.2  17.   17.   17.   48.45 49.05 17.   43.25 17.   42.8  17.   17.
 17.   47.6  48.15 17.   17.   14.   17.   17.   17.   17.   17.   17.
 14.   47.65 14.   14.   17.   17.   17.   20.85 17.   42.1  48.2  17.
 14.   17.   17.   17.   14.   17.   14.   17.   17.   48.75 17.   40.7
 42.   14.   14.   14.   17.   17.   40.85 17.   17.   47.75 17.   14.
 23.8  17.   17.   17.   17.   17.   48.35 14.   47.95 17.   17.   17.
 17.   33.05 17.   14.   17.   14.   14.   17.   17.   17.   17.   14.
 17.   14.   14.   17.   14.   17.   17.   17.   14.   17.   48.6  17.
 17.   17.   17.   14.   17.   23.8  17.   17.   48.6  14.   17.   14.
 17.   35.05 35.9  17.   17.   19.15 14.   14.   17.   45.6  22.65 17.
 17.   17.   20.85 14.   14.   17.   14.   17.   17.   17.   14.   17.
 17.   14.   17.   17.   48.2  17.   38.9  46.5  17.   17.   17.   17.
 14.   17.   17.   14.   17.   14.   48.6  17.   48.8  14.   17.   17.
 17.   46.6  17.   17.   14.   14.   17.   47.35]"
"[13, 14, 18]",[8.05304855 8.05304855 8.05304855],20.02522727272727,7.025227272727271,8.767619270681172,0.22,"[18.   18.   18.   18.   18.   18.   48.   18.   18.   18.   14.   18.
 14.   24.8  18.   18.   18.   18.   18.   18.   14.   14.   14.   18.
 18.   14.   48.6  18.   18.   18.   45.85 18.   14.   48.3  18.   18.
 48.3  18.   18.   38.4  18.   18.   18.   14.   18.   18.   18.   42.05
 18.   18.   18.   18.   18.   18.   18.   18.   14.   18.   18.   18.
 18.   18.   18.   18.   18.   18.   18.   18.   18.   18.   18.   18.
 31.55 18.   18.   14.   14.   18.   40.6  47.4  18.   18.   44.65 18.
 18.   48.7  18.   14.   18.   18.   18.   18.   18.   18.   48.15 18.
 18.   18.   14.   35.1  18.   18.   14.   18.   48.5  18.   23.6  18.
 18.   14.   18.   18.   28.75 14.   18.   18.   18.   14.   18.   14.
 14.   18.   18.   18.   18.   18.   18.   14.   18.   14.   14.   18.
 18.   18.   18.   18.   48.7  48.95 18.   48.55 18.   18.   14.   14.
 14.   14.   44.05 18.   46.6  18.   18.   14.   18.   18.   14.   18.
 18.   14.   18.   18.   14.   14.   14.   18.   42.45 18.   14.   18.
 18.   14.   18.   14.   14.   48.   18.   18.   18.   14.   18.   18.
 14.   18.   18.   14.   14.   14.   18.   18.   18.   18.   14.   14.
 20.05 28.05 18.   18.   14.   14.   18.   18.   14.   14.   18.   18.
 18.   18.   18.   14.   18.   18.   18.   18.   18.   14.   18.   18.
 18.   18.   18.   28.85]"
