RT Treatment Days,RT Dose,Mean Treatment Time From Starting Tumour Size,Mean Treatment Time After Treatment Started,SD Treatment Time,TCP,List of Treatment Times
"[14, 24, 26]",[8.05304855 8.05304855 8.05304855],26.879197080291974,12.879197080291974,4.096467422148186,0.137,"[26.   26.   26.   24.   26.   26.   26.   26.   26.   26.   26.   26.
 26.   26.   26.   26.   26.   26.   26.   24.   26.   44.4  26.   33.65
 24.   26.   26.   26.   26.   24.   30.4  26.   26.   26.   41.75 26.
 24.   37.8  26.   26.   24.   26.   26.   26.   26.   26.   26.   26.
 26.   26.   24.   26.   24.   26.   26.   26.   26.   26.   26.   26.
 24.   26.   39.9  26.   26.   26.   26.   26.   26.   26.   26.   26.
 26.   48.95 26.   26.   24.   31.75 26.   24.   26.   24.   26.   26.
 26.   26.   26.   24.   28.85 26.   26.   26.   26.   29.85 24.   26.
 26.3  30.5  26.   26.   26.   42.05 26.   26.   26.   26.3  26.   24.
 24.   26.   26.   26.   26.   26.   26.   26.   26.   26.   26.   26.
 26.   26.   26.   24.   26.   33.55 26.   26.   26.   26.   26.   26.
 46.45 26.   26.   24.   26.  ]"
"[14, 24, 27]",[8.05304855 8.05304855 8.05304855],27.547635135135135,13.547635135135135,3.9371426670095597,0.148,"[24.   24.   27.   27.   35.95 27.   27.   24.   24.   24.   24.   27.
 27.   27.   27.   27.   27.   27.   27.   27.   27.   27.   27.   27.
 27.   27.   27.   27.   27.   27.   27.   27.   27.   27.   27.   27.
 33.35 27.   27.   27.   27.   27.   27.   27.   27.   27.   27.   27.
 24.   46.1  39.8  27.   27.   27.   27.   27.   27.   27.   27.   27.
 24.   27.   27.   27.   32.9  42.25 27.   27.   45.05 24.   27.   27.
 27.   24.   27.   27.   27.   27.   24.   24.   27.   27.   27.   27.
 24.   27.   27.   27.   27.   27.   40.8  27.   27.   27.   27.   27.
 27.   27.   27.   28.45 27.   27.   27.   24.   27.   24.   27.   27.
 27.   27.   27.   27.   24.   24.   27.   27.   27.   27.   27.   27.
 27.   24.   27.   27.   27.   24.   27.   24.   43.4  27.   27.   27.
 27.   27.   24.   27.   27.   27.   45.15 27.   27.   27.   27.   37.35
 27.   27.5  24.   27.  ]"
"[14, 24, 28]",[8.05304855 8.05304855 8.05304855],28.66014492753623,14.66014492753623,4.360366456064207,0.138,"[33.55 24.   28.   28.   28.   28.   28.   28.   28.   28.   28.   28.
 28.   28.   28.   28.   28.   28.   28.   28.   24.   28.   28.   28.
 30.1  39.45 28.   28.   28.   28.   28.   28.   28.   24.   28.   28.
 28.   28.   43.4  28.   28.   28.   28.   28.   28.   24.   24.   28.
 47.4  28.   24.   28.   24.   28.   28.   28.   43.5  28.   24.   28.
 28.   28.   28.   28.   24.   24.   33.45 28.   46.85 28.   28.   28.
 28.   28.   28.   28.   28.   28.   28.   28.   24.   28.   36.6  28.
 28.   41.4  45.35 28.   28.   24.   28.   28.   28.   28.   28.   28.
 28.   28.   28.   28.   28.   47.15 28.   24.   28.   28.   28.   28.
 24.   28.   28.   24.   28.   24.   28.   28.   28.   28.   28.   24.
 28.   28.   28.   35.7  28.   28.   24.   28.   28.   31.2  28.   28.
 28.   28.   28.   28.   28.   28.  ]"
"[14, 24, 29]",[8.05304855 8.05304855 8.05304855],28.949,14.949000000000002,4.364800377260493,0.15,"[24.   29.   24.   29.   42.85 29.   24.   29.   29.   29.   29.   24.
 29.   29.   29.   29.   24.   29.   29.   29.   29.   29.   24.   29.
 29.   24.   29.   29.   29.   40.4  32.4  29.   29.   29.   29.   29.
 29.   29.   29.   29.   29.   29.   34.15 29.   24.   29.   29.   24.
 42.6  29.   29.   29.   29.   29.   29.   29.   29.   24.   24.   45.9
 24.   24.   29.   29.   29.   29.   29.   24.   29.   35.3  24.   29.
 29.   35.1  29.   29.   29.   29.   29.   29.   29.   29.   29.   29.
 29.   29.   24.   24.   24.   29.   29.   29.   29.   29.   29.   24.
 29.   24.   24.   29.   24.   29.   29.   24.   29.   29.   24.   29.
 24.   29.   29.   29.   24.   29.   29.   43.85 29.   24.   24.   29.
 29.   29.   29.   29.   29.   29.   29.   29.   29.   29.   29.   29.
 29.   29.   29.   43.55 46.3  24.   29.   29.   29.   29.   24.   29.
 43.15 24.   29.   43.8  29.   24.  ]"
"[14, 24, 30]",[8.05304855 8.05304855 8.05304855],29.274817518248174,15.274817518248174,3.8474853105470843,0.137,"[30.   30.   30.   30.   30.   30.   30.   30.   30.   38.15 37.9  30.
 46.25 30.   42.45 30.   24.   30.   24.   30.   38.35 30.   30.   24.
 30.   30.   30.   24.   30.   30.   24.   30.   30.   35.9  30.   24.
 24.   24.   42.95 30.   30.   30.   30.   30.   30.   30.   30.   30.
 30.   30.   30.   30.   24.   36.05 30.   24.   30.   24.   38.45 30.
 30.   30.   30.   30.   30.   24.   30.   30.   30.   30.   30.   30.
 30.   24.   24.   30.   30.   30.   24.   30.   30.   30.   30.   30.
 30.   30.   30.   30.   30.   33.7  24.   24.   30.   24.   24.   30.
 24.   30.   24.   30.   30.   30.   30.   30.   30.   30.   24.   24.
 30.   24.   30.   30.   30.   30.   24.   30.   30.   30.   30.   32.5
 30.   30.   24.   24.   30.   30.   24.   30.   24.   30.   30.   30.
 24.   30.   24.   24.   30.  ]"
"[14, 25, 26]",[8.05304855 8.05304855 8.05304855],26.71897810218978,12.71897810218978,3.8382588594977793,0.137,"[26.   26.   25.   26.   26.   26.   26.   26.   26.   26.   26.   26.
 26.   26.   26.   26.   26.   26.   26.   26.   26.   40.9  25.   26.
 26.   47.95 25.   41.2  26.   26.   25.   26.   41.1  26.   26.   26.
 26.   26.   26.   26.   26.   25.   25.   25.   25.   26.   33.85 26.
 26.   26.   26.   25.   26.   26.   26.   26.   26.   26.   26.   26.
 26.   26.   26.   26.   26.   26.   26.   26.   26.   25.   26.   26.
 26.   26.   26.   30.55 25.   26.   25.   26.   26.   26.   26.   25.
 26.   25.   26.   25.   25.   26.   25.   26.   26.   25.   45.35 26.
 26.   26.   26.   26.   26.   26.   25.   26.   25.   26.   26.   26.
 26.45 26.   26.   26.   26.   26.   47.15 26.   26.   25.   26.   26.
 26.   26.   26.   26.   26.   26.   26.   26.   26.   26.   25.   26.
 26.   26.   26.   26.   26.  ]"
"[14, 25, 27]",[8.05304855 8.05304855 8.05304855],26.950833333333332,12.950833333333332,2.883212786497421,0.12,"[27.   27.   27.   27.   27.   25.   27.   27.   25.   27.   27.   25.
 27.   27.   27.   27.   27.   25.   25.   25.   25.   27.   27.   27.
 27.   27.   27.   25.   27.   27.   25.   25.   27.   27.   27.   27.
 27.   27.   25.   25.   27.   27.   27.   25.   30.05 27.   27.   27.
 47.6  25.   27.   27.   27.   25.   27.   27.   27.   27.   27.   25.
 30.05 25.   27.   25.   27.   27.   25.   25.   27.   27.   27.   27.
 27.   25.   27.   27.   46.5  25.   25.   27.   25.   27.   27.   27.
 27.   27.   27.   27.   25.   27.   27.   27.   27.   25.   27.   25.
 27.   27.   31.05 27.   27.   27.   27.   27.   25.   27.   25.   32.85
 27.   27.   25.   27.   25.   27.   27.   27.   27.   27.   27.   27.  ]"
"[14, 25, 28]",[8.05304855 8.05304855 8.05304855],28.531889763779528,14.531889763779528,4.008120051851329,0.127,"[28.   28.   44.1  28.   28.   32.9  34.9  28.   28.   25.   25.   25.
 28.   25.   25.   28.   28.   28.   28.   28.   28.   28.   28.   28.
 28.   28.   25.   28.   28.   28.85 28.   28.   25.   49.05 25.   28.
 28.   28.   25.   28.   28.   28.   25.   28.   28.   31.1  28.   28.
 25.   40.8  28.   28.   28.   25.   28.   25.   28.   28.   28.   36.05
 25.   28.   25.   28.   28.   28.   28.   25.   25.   28.   28.   25.
 28.   28.   28.   37.55 28.   28.   28.   25.   28.   28.   25.   28.
 28.   25.   28.   25.   28.   28.   29.2  28.   37.75 28.   25.   25.
 28.   28.   36.8  35.55 42.05 28.   28.   25.   28.   28.   28.   28.
 28.   25.   25.   28.   28.   28.   42.7  28.   28.   28.   28.   28.
 28.   28.   28.   28.   28.   28.   37.2 ]"
"[14, 25, 29]",[8.05304855 8.05304855 8.05304855],28.60514705882353,14.60514705882353,2.763112318429357,0.136,"[29.   29.   29.   29.   29.   36.4  29.   29.   29.   29.   29.   29.
 29.   29.   29.   29.   29.   29.   29.   29.   29.   25.   29.   29.
 43.1  29.   29.   29.   29.   29.   29.   25.   29.   29.   29.   29.
 25.   25.   29.   29.   25.   29.   29.   29.   29.   25.   25.   29.
 25.   25.   29.   25.   39.45 29.   29.   25.   29.   29.   29.   25.
 29.   25.   29.   29.   29.   25.   29.   29.   25.   25.   29.   29.
 29.   29.   29.   29.   29.   29.   29.   29.   29.   29.   25.   30.95
 29.   29.   29.   29.   25.   25.   29.   29.   29.   29.   29.   29.
 29.   36.6  25.   25.   29.   29.   32.6  29.   29.   29.   42.2  29.
 29.   29.   29.   25.   25.   25.   25.   29.   29.   29.   25.   29.
 29.   29.   29.   29.   29.   29.   29.   29.   25.   25.   29.   29.
 29.   29.   29.   29.  ]"
"[14, 25, 30]",[8.05304855 8.05304855 8.05304855],29.889256198347105,15.889256198347105,3.960889407860886,0.121,"[30.   30.   30.   42.55 30.   30.   30.   30.   30.   30.   30.   30.
 30.   30.   35.15 30.   30.   25.   30.   30.   30.   29.85 25.   30.
 30.   30.   30.   43.4  30.   30.   30.   25.   30.   30.   30.   30.
 25.   25.   30.   30.   30.   30.   30.   30.   30.   30.   25.   39.55
 25.   25.   25.   30.   30.   30.   30.   25.   30.   30.   30.   30.
 25.   32.45 30.   30.   30.   30.   30.   25.   30.   36.75 25.   25.
 30.   25.   47.95 30.   30.   30.   25.   30.   30.   30.   30.   30.
 30.   36.9  25.   30.   30.   43.5  30.   25.   25.   45.1  30.   30.
 25.   30.   30.   25.   30.   30.   30.   30.   29.8  30.   30.   30.
 25.   30.   30.   30.   25.   30.   30.   33.65 30.   30.   30.   30.
 25.  ]"
"[14, 26, 27]",[8.05304855 8.05304855 8.05304855],27.56768707482993,13.56768707482993,3.5646593120411074,0.147,"[26.   26.   27.   27.   26.   27.   27.   27.   27.   27.   26.   27.
 27.   26.1  26.   27.   27.   27.   27.   26.   27.   26.   48.65 27.
 27.   26.   27.   27.   27.   27.   26.   27.   27.   27.   27.   27.
 27.   27.   27.   27.   30.1  27.   27.   27.   27.   27.   27.   27.
 36.75 26.   27.   27.   27.   27.   27.   27.   27.   26.   27.   27.
 27.   26.   27.   26.   27.   26.   27.   27.   27.   27.45 27.   26.
 27.   27.   27.   27.   27.   27.   26.   27.   26.   27.   27.   27.
 27.   27.   27.   27.   27.   27.   27.   27.   27.   27.   27.   27.
 26.   26.   27.   27.   27.   27.   27.   27.   27.   27.   48.2  45.7
 27.   27.   27.   26.   26.   27.   27.   27.   27.   35.15 26.   27.
 26.   27.   27.   26.   27.9  27.   26.   27.   27.   27.   27.   27.
 27.   27.   27.   27.   27.   27.   26.   33.2  27.   27.   27.   27.
 47.25 27.   27.  ]"
"[14, 26, 28]",[8.05304855 8.05304855 8.05304855],28.154838709677417,14.154838709677417,2.7762197214426974,0.124,"[28.   28.   28.   28.   28.   28.   28.   28.   28.   28.   28.   28.
 28.   28.   28.   26.   34.35 26.   28.   28.   28.   28.   28.   28.
 28.   28.   28.   28.   28.   26.   42.25 26.   28.   28.   28.   28.
 28.   28.   28.   28.   26.   28.   26.   26.   26.   28.   26.   28.
 28.   26.   28.   28.   26.   28.   28.   28.   28.   26.   28.   26.
 26.   28.   28.   26.   26.   31.3  28.   45.2  26.   28.   26.   26.
 28.   26.   28.   28.   28.   28.   28.   29.45 28.   28.   28.   28.
 26.   28.   28.   28.   28.   28.   28.   28.   28.   28.   28.   28.
 42.15 28.   28.   28.   28.   28.   28.   28.   28.   28.   38.5  28.
 26.   28.   28.   28.   28.   28.   26.   28.   28.   28.   28.   28.
 28.   28.   28.   26.  ]"
"[14, 26, 29]",[8.05304855 8.05304855 8.05304855],29.202479338842974,15.202479338842974,3.7486738770330477,0.121,"[29.   29.   29.   29.   29.   29.   26.   26.   29.   29.   29.   29.
 29.   29.   29.   26.   26.   29.   29.   26.   29.   29.   26.   26.
 29.   29.   26.   29.   29.   29.   29.   26.   29.   29.   43.15 26.
 38.5  29.   29.   26.   29.   41.   29.   29.   29.   29.   26.   29.
 29.   29.   44.35 29.   29.   29.   29.   29.   26.   29.   29.   26.
 29.   29.   29.   29.   33.15 26.   29.   29.   29.   29.   29.   45.1
 30.5  26.   29.   29.   26.   29.   29.   26.   29.   29.   29.   29.
 29.   29.   39.5  29.   29.   29.   29.   29.   29.   29.   48.95 26.
 29.   29.   26.   29.   26.   29.   29.   29.   29.   29.   31.3  26.
 29.   26.   29.   29.   29.   29.   29.   29.   26.   29.   26.   26.
 26.  ]"
"[14, 26, 30]",[8.05304855 8.05304855 8.05304855],29.925210084033612,15.925210084033612,3.48227126903675,0.119,"[30.   30.   30.   30.   30.   30.   26.   30.   30.   30.   30.   30.
 30.   30.   30.   30.   30.   30.   30.   30.   30.   46.85 30.   39.95
 26.   30.   30.   30.   26.   30.   30.   30.   30.   26.   30.   30.
 26.   30.   30.   38.85 26.   26.   27.05 30.   32.9  30.   47.2  30.
 30.   30.   30.   30.   30.   30.   30.   30.   26.   30.   30.   30.
 30.   30.   26.   30.   26.   26.   26.   30.   30.   30.   30.   30.
 30.   26.   30.   30.   26.   26.   30.   30.   30.   30.   30.   30.
 30.   30.   30.   30.   47.85 30.   26.   30.   30.   30.   30.   30.
 30.   26.   30.   30.   30.   30.   26.   30.   30.   30.   26.   26.
 30.   30.65 30.   33.8  30.   26.   30.   30.   30.   30.   30.  ]"
"[14, 27, 28]",[8.05304855 8.05304855 8.05304855],28.239112903225806,14.239112903225806,2.583341176154276,0.124,"[27.   28.   28.   27.   28.   28.   27.   27.   35.65 28.   28.   28.
 28.   28.   28.   28.   28.   28.   27.   28.   28.   28.   28.   27.
 28.   27.   28.   28.   28.   27.   28.   28.   27.   28.   27.   28.
 28.   28.   28.   28.   28.   28.   28.   28.   28.   28.   27.   28.
 28.   28.   27.   28.   28.   27.   28.   28.   28.   46.15 28.   28.
 28.   28.   28.   27.   27.   28.   28.   27.   28.   28.   28.   28.
 28.   28.   31.65 28.   27.   27.   27.   28.   34.7  27.   27.   27.
 28.   28.   28.   28.   28.   28.   28.   28.   27.   27.   28.   28.
 28.   28.   27.   28.   28.   28.   27.   28.   27.   28.   28.   28.
 28.   28.   28.   28.   30.65 27.   28.   46.8  28.   28.   28.   28.
 28.   28.05 28.   28.  ]"
"[14, 27, 29]",[8.05304855 8.05304855 8.05304855],29.686821705426357,15.686821705426357,4.005826760854554,0.129,"[27.   46.8  27.   29.   29.   37.65 29.   29.   27.   29.   29.   29.
 27.   29.   29.   29.   48.5  29.   29.   29.   35.2  29.   29.   29.
 29.   29.   27.   27.   39.8  29.   29.   29.   29.   27.   29.   29.
 29.   29.   27.   29.   49.05 29.   29.   27.   29.   29.   29.   29.
 29.   29.   29.   27.   29.   29.   27.   29.   29.   29.   29.   29.
 29.   27.   27.   29.   29.   42.05 29.   29.   29.   29.   29.   27.
 29.   29.   29.   27.   29.   27.   27.   29.   29.   29.   29.   29.
 41.6  34.25 27.   27.   28.8  29.   29.   29.   29.   29.   29.   29.
 29.   29.   29.   29.   29.   29.   27.   29.   47.9  29.   29.   29.
 29.   29.   29.   29.   29.   29.   29.   27.   29.   29.   29.   29.
 29.   29.   29.   29.   29.   27.   29.   29.   29.  ]"
"[14, 27, 30]",[8.05304855 8.05304855 8.05304855],30.225833333333334,16.225833333333334,3.0594184042432353,0.12,"[30.   30.   30.   27.   30.   30.   27.   30.   30.   30.   30.   30.
 30.   30.   27.   30.   30.   30.   30.   48.   27.   30.   30.   27.
 27.   30.   27.   30.   30.   30.   30.   30.   30.   30.   30.   30.
 30.   30.   27.   27.   30.   30.   30.   30.   30.   30.   30.   30.
 30.   30.   30.   30.   27.   35.1  30.   30.   27.   30.   27.   30.
 33.8  30.   30.   30.   30.   30.   30.   30.   37.05 30.   30.   30.
 30.   30.   30.   30.   30.   30.   30.   27.   30.   30.   30.   30.
 30.   43.5  30.   30.   30.   30.   27.   30.   30.   30.   30.   30.
 30.   30.   30.   30.   42.   30.   30.   45.65 30.   30.   30.   30.
 30.   30.   30.   30.   30.   30.   30.   27.   30.   30.   27.   30.  ]"
"[14, 28, 29]",[8.05304855 8.05304855 8.05304855],29.516956521739132,15.516956521739132,3.037890336032856,0.115,"[28.   29.   29.   29.   39.8  29.   29.   28.   29.   37.55 29.   29.
 28.   30.9  29.   29.   29.   29.   29.   29.   29.   29.   29.   29.
 28.   29.   29.   29.   29.   29.   29.   29.   29.   29.   29.   29.
 29.   29.   29.   48.05 28.   47.75 29.   29.   28.   29.   29.   29.
 29.   29.   29.   29.   29.   29.   29.   29.   29.   29.   28.   28.
 29.   29.   39.8  29.   29.   28.   29.   28.   29.   28.   28.   28.
 29.   29.   28.   29.   29.   29.   34.   29.   28.   28.85 29.   28.
 29.   28.   28.   29.   29.   29.   33.75 29.   29.   29.   29.   28.
 29.   29.   29.   29.   29.   29.   29.   29.   29.   29.   29.   29.
 29.   29.   29.   28.   29.   29.   29.  ]"
